timestamp,city,temperature,description
timestamp,city,temperature,description
timestamp,city,temperature,description
timestamp,city,temperature,description
2026-03-16T12:41:21.843Z, Lagos, 35.18, overcast clouds
2026-03-16T15:07:51.785Z, Lagos, 31.76, overcast clouds
2026-03-16T15:24:47.968Z, Lagos, 31.76, overcast clouds
2026-03-17T12:22:06.182Z, Lagos, 31.91, light rain
